"NAME","month_report","yr_report","LOCATION","count","type","month"
"Service Desk","Jun",2015,"Kilifi",147,"open",6
"Service Desk","Jun",2015,"Nairobi",12,"open",6
"Service Desk","Jul",2015,"Kilifi",108,"open",7
"Service Desk","Jul",2015,"Nairobi",8,"open",7
"Service Desk","Aug",2015,"Kilifi",86,"open",8
"Service Desk","Aug",2015,"Mtwapa",1,"open",8
"Service Desk","Aug",2015,"Nairobi",10,"open",8
"Service Desk","Sep",2015,"Kilifi",86,"open",9
"Service Desk","Sep",2015,"Nairobi",11,"open",9
"Data Governance","Jan",2015,"Kilifi",10,"closed",1
"Data Governance","Feb",2015,"Kilifi",8,"closed",2
"Data Governance","Mar",2015,"Kilifi",6,"closed",3
"Data Governance","Apr",2015,"Kilifi",4,"closed",4
"Data Governance","May",2015,"Kilifi",2,"closed",5
"Data Governance","May",2015,"Mtwapa",1,"closed",5
"Data Governance","Jun",2015,"Kilifi",4,"closed",6
"Data Governance","Jul",2015,"Kilifi",3,"closed",7
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Desktop Support","Jan",2015,"Kilifi",156,"closed",1
"Desktop Support","Jan",2015,"Nairobi",19,"closed",1
"Desktop Support","Feb",2015,"Kilifi",127,"closed",2
"Desktop Support","Feb",2015,"Mtwapa",4,"closed",2
"Desktop Support","Feb",2015,"Nairobi",19,"closed",2
"Desktop Support","Mar",2015,"Kilifi",114,"closed",3
"Desktop Support","Mar",2015,"Mtwapa",1,"closed",3
"Desktop Support","Mar",2015,"Nairobi",26,"closed",3
"Desktop Support","Apr",2015,"Kilifi",130,"closed",4
"Desktop Support","Apr",2015,"Nairobi",23,"closed",4
"Desktop Support","May",2015,"Kilifi",116,"closed",5
"Desktop Support","May",2015,"Nairobi",10,"closed",5
"Desktop Support","Jun",2015,"Kilifi",160,"closed",6
"Desktop Support","Jun",2015,"Nairobi",17,"closed",6
"Desktop Support","Jul",2015,"Kilifi",122,"closed",7
"Desktop Support","Jul",2015,"Nairobi",9,"closed",7
"Desktop Support","Aug",2015,"Kilifi",70,"closed",8
"Desktop Support","Aug",2015,"Mtwapa",1,"closed",8
"Desktop Support","Aug",2015,"Nairobi",17,"closed",8
"Desktop Support","Sep",2015,"Kilifi",60,"closed",9
"Desktop Support","Sep",2015,"Nairobi",9,"closed",9
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Development","Jan",2015,"Kilifi",27,"closed",1
"Development","Jan",2015,"Mtwapa",2,"closed",1
"Development","Feb",2015,"Kilifi",17,"closed",2
"Development","Mar",2015,"Kilifi",17,"closed",3
"Development","Mar",2015,"Mtwapa",2,"closed",3
"Development","Apr",2015,"Kilifi",18,"closed",4
"Development","May",2015,"Kilifi",7,"closed",5
"Development","Jun",2015,"Kilifi",7,"closed",6
"Development","Jul",2015,"Kilifi",11,"closed",7
"Development","Aug",2015,"Kilifi",5,"closed",8
"Development","Sep",2015,"Kilifi",2,"closed",9
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"HRMIS","Jul",2015,"Kilifi",22,"closed",7
"HRMIS","Jul",2015,"Nairobi",6,"closed",7
"HRMIS","Aug",2015,"Kilifi",2,"closed",8
"HRMIS","Aug",2015,"Nairobi",1,"closed",8
"HRMIS","Sep",2015,"Kilifi",6,"closed",9
"HRMIS","Sep",2015,"Nairobi",3,"closed",9
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Information Services","Jan",2015,"Kilifi",15,"closed",1
"Information Services","Jan",2015,"Nairobi",1,"closed",1
"Information Services","Feb",2015,"Kilifi",22,"closed",2
"Information Services","Feb",2015,"Nairobi",2,"closed",2
"Information Services","Mar",2015,"Kilifi",40,"closed",3
"Information Services","Mar",2015,"Mtwapa",1,"closed",3
"Information Services","Mar",2015,"Nairobi",3,"closed",3
"Information Services","Apr",2015,"Kilifi",10,"closed",4
"Information Services","Apr",2015,"Nairobi",1,"closed",4
"Information Services","May",2015,"Kilifi",11,"closed",5
"Information Services","Jun",2015,"Kilifi",15,"closed",6
"Information Services","Jun",2015,"Nairobi",3,"closed",6
"Information Services","Jul",2015,"Kilifi",10,"closed",7
"Information Services","Aug",2015,"Kilifi",10,"closed",8
"Information Services","Aug",2015,"Nairobi",1,"closed",8
"Information Services","Sep",2015,"Kilifi",5,"closed",9
"Information Services","Sep",2015,"Nairobi",1,"closed",9
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Infrastructure Support","Jan",2015,"Kilifi",136,"closed",1
"Infrastructure Support","Jan",2015,"Nairobi",20,"closed",1
"Infrastructure Support","Feb",2015,"Kilifi",210,"closed",2
"Infrastructure Support","Feb",2015,"Mtwapa",2,"closed",2
"Infrastructure Support","Feb",2015,"Nairobi",17,"closed",2
"Infrastructure Support","Mar",2015,"Kilifi",140,"closed",3
"Infrastructure Support","Mar",2015,"Mtwapa",1,"closed",3
"Infrastructure Support","Mar",2015,"Nairobi",25,"closed",3
"Infrastructure Support","Apr",2015,"Kilifi",116,"closed",4
"Infrastructure Support","Apr",2015,"Nairobi",12,"closed",4
"Infrastructure Support","May",2015,"Kilifi",146,"closed",5
"Infrastructure Support","May",2015,"Nairobi",7,"closed",5
"Infrastructure Support","Jun",2015,"Kilifi",197,"closed",6
"Infrastructure Support","Jun",2015,"Nairobi",13,"closed",6
"Infrastructure Support","Jul",2015,"Kilifi",192,"closed",7
"Infrastructure Support","Jul",2015,"Nairobi",14,"closed",7
"Infrastructure Support","Aug",2015,"Kilifi",102,"closed",8
"Infrastructure Support","Aug",2015,"Mtwapa",1,"closed",8
"Infrastructure Support","Aug",2015,"Nairobi",9,"closed",8
"Infrastructure Support","Sep",2015,"Kilifi",79,"closed",9
"Infrastructure Support","Sep",2015,"Mtwapa",2,"closed",9
"Infrastructure Support","Sep",2015,"Nairobi",6,"closed",9
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
"Lab Support","Jan",2015,"Kilifi",1,"closed",1
"Lab Support","Feb",2015,"Kilifi",3,"closed",2
"Lab Support","Mar",2015,"Kilifi",1,"closed",3
"Lab Support","Apr",2015,"Kilifi",2,"closed",4
"Lab Support","Jul",2015,"Kilifi",2,"closed",7
NA,NA,NA,NA,NA,NA,NA
"Printer Support","Jan",2015,"Kilifi",39,"closed",1
"Printer Support","Jan",2015,"Nairobi",7,"closed",1
"Printer Support","Feb",2015,"Kilifi",48,"closed",2
"Printer Support","Feb",2015,"Mtwapa",1,"closed",2
"Printer Support","Feb",2015,"Nairobi",2,"closed",2
"Printer Support","Mar",2015,"Kilifi",130,"closed",3
"Printer Support","Mar",2015,"Nairobi",3,"closed",3
"Printer Support","Apr",2015,"Kilifi",59,"closed",4
"Printer Support","Apr",2015,"Nairobi",4,"closed",4
"Printer Support","May",2015,"Kilifi",52,"closed",5
"Printer Support","May",2015,"Nairobi",8,"closed",5
"Printer Support","Jun",2015,"Kilifi",46,"closed",6
"Printer Support","Jun",2015,"Nairobi",4,"closed",6
"Printer Support","Jul",2015,"Kilifi",46,"closed",7
"Printer Support","Jul",2015,"Nairobi",4,"closed",7
"Printer Support","Aug",2015,"Kilifi",35,"closed",8
"Printer Support","Aug",2015,"Nairobi",5,"closed",8
"Printer Support","Sep",2015,"Kilifi",20,"closed",9
"Printer Support","Sep",2015,"Nairobi",5,"closed",9
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
